"year","product_code","product_name","total_DDD"
2020,"0402030K0AAACAC","Lithium carbonate 250mg tablets",3187.99496040317
2020,"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",48829.6436285097
2020,"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",930.919276457883
2020,"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",18596.3372930166
2020,"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",56.695464362851
2020,"0402030K0BBABAF","Camcolit 400 modified-release tablets",5002.2498200144
2020,"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",464.194114470842
2020,"0402030K0BFAAAF","Priadel 400mg modified-release tablets",75729.841612671
2020,"0402030K0BFABAI","Priadel 200mg modified-release tablets",36611.3210943125
2020,"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",612.394794539925
2020,"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",167.398684489709
2020,"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",225.223230072848
2020,"0402030P0BCAAAI","Priadel 520mg/5ml liquid",1093.30928637103
2020,"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",114.974096470755
2020,"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",82.7993493174906
2021,"0402030K0AAACAC","Lithium carbonate 250mg tablets",3143.84224262059
2021,"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",46592.8725701944
2021,"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",962.810475161987
2021,"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",16784.5572354212
2021,"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",19.7984161267099
2021,"0402030K0BBAAAC","Camcolit 250 tablets",11.811555075594
2021,"0402030K0BBABAF","Camcolit 400 modified-release tablets",3653.25773938085
2021,"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",1460.41441684665
2021,"0402030K0BFAAAF","Priadel 400mg modified-release tablets",81744.9604031677
2021,"0402030K0BFABAI","Priadel 200mg modified-release tablets",36125.1349892009
2021,"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",223.608458872622
2021,"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",56.6995544239338
2021,"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",451.841449183111
2021,"0402030P0BCAAAI","Priadel 520mg/5ml liquid",559.113091449183
2021,"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",211.858335101492
2021,"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",79.1993776080345
2022,"0402030K0AAACAC","Lithium carbonate 250mg tablets",3127.812275018
2022,"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",47858.1713462923
2022,"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",375.607451403888
2022,"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",16802.1058315335
2022,"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",44.0964722822174
2022,"0402030K0BBABAF","Camcolit 400 modified-release tablets",1536.17710583153
2022,"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",777.537796976242
2022,"0402030K0BFAAAF","Priadel 400mg modified-release tablets",95988.120950324
2022,"0402030K0BFABAI","Priadel 200mg modified-release tablets",37360.0611951044
2022,"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",357.203479736898
2022,"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",92.5192729330221
2022,"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",106.244165075324
2022,"0402030P0BCAAAI","Priadel 520mg/5ml liquid",938.245279015489
2022,"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",263.742927364029
2023,"0402030K0AAACAC","Lithium carbonate 250mg tablets",3234.67872570194
2023,"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",45294.2764578834
2023,"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",138.701403887689
2023,"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",15929.6256299496
2023,"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",25.1979841612671
2023,"0402030K0BBABAF","Camcolit 400 modified-release tablets",1402.98776097912
2023,"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",602.895518358531
2023,"0402030K0BFAAAF","Priadel 400mg modified-release tablets",109886.159107271
2023,"0402030K0BFABAI","Priadel 200mg modified-release tablets",38706.5784737221
2023,"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",489.833085791074
2023,"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",170.998656199165
2023,"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",157.948758752387
2023,"0402030P0BCAAAI","Priadel 520mg/5ml liquid",1538.54940236226
2023,"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",76.2294009477332
2023,"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",15.7498762288705
2024,"0402030K0AAACAC","Lithium carbonate 250mg tablets",3045.69384449244
2024,"0402030K0AAAFAF","Lithium carbonate 400mg modified-release tablets",47701.5838732901
2024,"0402030K0AAAGAG","Lithium carbonate 450mg modified-release tablets",847.394708423326
2024,"0402030K0AAAIAI","Lithium carbonate 200mg modified-release tablets",17011.3390928726
2024,"0402030K0AAAPAP","Lithium carbonate 200mg/5ml oral suspension",157.487401007919
2024,"0402030K0BBAAAC","Camcolit 250 tablets",7.87437005039597
2024,"0402030K0BBABAF","Camcolit 400 modified-release tablets",642.998560115191
2024,"0402030K0BDAAAG","Liskonum 450mg modified-release tablets",1094.93115550756
2024,"0402030K0BFAAAF","Priadel 400mg modified-release tablets",133176.295896328
2024,"0402030K0BFABAI","Priadel 200mg modified-release tablets",47513.9488840893
2024,"0402030P0AAAIAI","Lithium citrate 520mg/5ml oral solution sugar free",841.565881604074
2024,"0402030P0AAAKAK","Lithium citrate 1.018g/5ml oral solution",34.0197326543603
2024,"0402030P0AAALAL","Lithium citrate 509mg/5ml oral solution",479.426232406818
2024,"0402030P0BCAAAI","Priadel 520mg/5ml liquid",2145.56545724592
2024,"0402030P0BDAAAL","Li-Liquid 509mg/5ml oral solution",118.34906994837
2024,"0402030P0BDABAK","Li-Liquid 1.018g/5ml oral solution",44.0996534408374
